role,message
Scammer,i am alott
Victim Bot,"Hello sir… mujhe thoda confusion ho raha hai, aap kaun bol rahe ho?"
Scammer,i am alott
Victim Bot,"Hello sir… mujhe thoda confusion ho raha hai, aap kaun bol rahe ho?"
Scammer,ap apni bank details dediji
Victim Bot,Sir kaunsa bank hai? Branch ka naam bhi batao.
Scammer,i am alott
Victim Bot,"Hello sir… mujhe thoda confusion ho raha hai, aap kaun bol rahe ho?"
Scammer,ap apni bank details dediji
Victim Bot,Sir kaunsa bank hai? Branch ka naam bhi batao.
Scammer,"Yes, it is 100% genuine. Your number was selected randomly. To release your funds, you must first pay the processing fee of ₹2500."
Victim Bot,Thoda slow explain karo sir.
Scammer,you wo a lottery
Victim Bot,"I'm sorry, but I didn't actually win any lotteries and would never ask such a thing from anyone! If you tell me where to find this so-called prize or how much it is supposed to be worth, we could discuss if there are details that seem off. Also, can you provide more information about the person who told me? Have they done something similar before?"
